Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Paplaujos g.,Užupis,4,69.29,152438.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,2,40.72,79404.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,1,36.4,65520.0,Centriniskolektorinis,Monolitinis,2019,
 Paplaujos g.,Užupis,1,36.4,65520.0,Centriniskolektorinis,Monolitinis,2019,
 Moldovos g.,Kalnėnai,3,80,77000.0,Dujinis,Mūrinis,2018,
 V. Grybo g.,Antakalnis,3,96.26,210000.0,Centriniskolektorinis,Mūrinis,2006,
 V. Grybo g.,Antakalnis,4,96.26,210000.0,Centriniskolektorinis.centrinis,Blokinis,2005,
 Klinikų g.,Antakalnis,3,96.26,210000.0,Centriniskolektorinis,Mūrinis,2006,
 V. Grybo g.,Antakalnis,3,96.26,210000.0,Centriniskolektorinis.centrinis,Blokinis,2005,
 K. Vanagėlio g.,Senamiestis,2,43,94000.0,Centrinis,Mūrinis,1966,
 Rolando Jankausko g.,Karoliniškės,4,78,87000.0,Centrinis,Blokinis,1972,
 Rolando Jankausko g.,Karoliniškės,4,78,87000.0,Centrinis,Blokinis,1972,
 Santariškių g.,Santariškės,2,47.09,112500.0,Centriniskolektorinis,Mūrinis,2005,
 Kviečių g.,Jeruzalė,3,76.84,125250.0,Centriniskolektorinis,Mūrinis,2018,
 Leičių g.,Pašilaičiai,3,71.37,69000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.37,69000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.37,71000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,2,53.22,59500.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,2,53.22,59500.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,58.58,64500.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,58.58,64500.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,82.71,85000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,82.71,85000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.37,71000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.37,71000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,67.57,71000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,67.57,73000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,67.57,73000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.37,71000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.37,73000.0,Centriniskolektorinis,Mūrinis,2019,
 Leičių g.,Pašilaičiai,3,71.37,73000.0,Centriniskolektorinis,Mūrinis,2019,
 Dariaus ir Girėno g.,Naujininkai,1,18,16000.0,Centrinis,Mūrinis,1970,
 Leičių g.,Pašilaičiai,2,45.42,51000.0,Centriniskolektorinis,Mūrinis,2019,
 Minties g.,Žirmūnai,2,44.26,65000.0,Centrinis,Blokinis,1974,
 Šiaulių g.,Senamiestis,2,45,139000.0,Centrinis,Mūrinis,1960,
 Šiaulių g.,Senamiestis,2,45,139000.0,Centrinis,Mūrinis,1960,
 Saltoniškių g.,Žvėrynas,2,55,125000.0,Centriniskolektorinis,Mūrinis,2019,
 Eišiškių pl.,Naujininkai,2,34.58,69900.0,Centriniskolektorinis,Mūrinis,2018,
 Žirgo g.,Antakalnis,3,68,117000.0,Dujinis,Mūrinis,2017,
 Žirgo g.,Antakalnis,3,69,118000.0,Dujinis,Mūrinis,2017,
 Vilniaus g.,Senamiestis,4,145,385000.0,Centrinis,Mūrinis,1940,
 Vilniaus g.,Senamiestis,4,145,358000.0,Centrinis,Mūrinis,1940,
 T. Kosciuškos g.,Senamiestis,4,150,400000.0,Centriniskolektorinis.kita,Mūrinis,2010,
 T. Kosciuškos g.,Antakalnis,4,150,400000.0,Centriniskolektorinis.kita,Mūrinis,2010,
 Šaltinių g.,Senamiestis,4,75,350000.0,Centriniskolektorinis.kita,Mūrinis,2016,
 Kaminkelio g.,Naujininkai,3,112,160000.0,Centriniskolektorinis.centrinis.kita,Mūrinis,2013,
 Paupio g.,Užupis,2,60.35,185000.0,Dujinis.kita,Mūrinis,1940,
 Paupio g.,Senamiestis,2,60.35,185000.0,Dujinis.kita,Mūrinis,1940,
 Konstitucijos pr.,Šnipiškės,2,73,157000.0,Centriniskolektorinis.centrinis,Mūrinis,2004,
 M. K. Čiurlionio g.,Naujamiestis,6,234,600000.0,Centriniskolektorinis.centrinis,Mūrinis,1940,
 Naugarduko g.,Senamiestis,3,68.98,189695.0,Centriniskolektorinis.centrinis,Mūrinis,2018,
 Krivių g.,Užupis,2,59,188000.0,Centriniskolektorinis.centrinis,Mūrinis,2005,
 Krivių g.,Senamiestis,2,59,188000.0,Centriniskolektorinis.centrinis,Mūrinis,2005,
 Paplaujos g.,Markučiai,3,70.2,123000.0,Dujinis.kita,Mūrinis,2014,
 Paplaujos g.,Užupis,3,70.2,123000.0,Dujinis.kita,Mūrinis,2014,
 Rūdninkų g.,Senamiestis,6,290,780000.0,Kita.elektra,Mūrinis,1940,
 A. Juozapavičiaus g.,Šnipiškės,3,75,299999.0,Dujinis.kita,Mūrinis,2008,
 Raugyklos g.,Senamiestis,3,77.2,212200.0,Dujinis,Mūrinis,2019,
 Raugyklos g.,Senamiestis,4,80.9,235500.0,Dujinis,Mūrinis,2019,
 Pilies g.,Senamiestis,7,214,737000.0,Centrinis,Mūrinis,1940,
 Krokuvos g.,Šnipiškės,3,112.54,229900.0,Centriniskolektorinis,Mūrinis,2004,
 Krokuvos g.,Šnipiškės,3,112.54,229900.0,Centriniskolektorinis,Mūrinis,2004,
 Ankštoji g.,Senamiestis,6,202,430000.0,Centriniskolektorinis,Mūrinis,1996,
 Vilniaus g.,Senamiestis,4,91.54,240000.0,Centrinis,Mūrinis,1940,
 Vasario 16-osios g.,Senamiestis,2,56,185000.0,Centrinis,Mūrinis,1957,
 Vasario 16-osios g.,Naujamiestis,2,56,185000.0,Centrinis,Mūrinis,1957,
 Tilto g.,Senamiestis,1,35,105000.0,Elektra,Mūrinis,1940,
 Tilto g.,Senamiestis,1,35,105000.0,Elektra.kietukuru,Mūrinis,1940,
 Didžioji g.,Senamiestis,3,59,245000.0,Centrinis,Mūrinis,1992,
 Didžioji g.,Senamiestis,3,59,245000.0,Centrinis,Mūrinis,1901,
 Mindaugo g.,Naujamiestis,1,32.93,92500.0,Centriniskolektorinis,Mūrinis,2014,
 Savanorių pr.,Naujamiestis,3,66,122000.0,Centrinis,Mūrinis,1993,
 Iešmininkų g.,Naujininkai,1,41.43,39500.0,Centrinis,Mūrinis,1960,
 Iešmininkų g.,Naujininkai,1,40,39500.0,Dujinis,Mūrinis,1960,
 Iešmininkų g.,Naujininkai,1,41.13,39500.0,Dujinis,Mūrinis,1960,
 Kalvarijų g.,Šnipiškės,1,22,39500.0,Centrinis,Mūrinis,1981,
 Savanorių pr.,Naujamiestis,1,22,34500.0,Centrinis,Blokinis,1965,
 Šeimyniškių g.,Šnipiškės,2,53.34,125000.0,Dujinis,Mūrinis,2003,
 Pramonės g.,Naujoji Vilnia,4,100,72900.0,Centrinis.dujinis.kietukuru,Mūrinis,1940,
 Panevėžio g.,Naujininkai,2,40,42500.0,Centrinis,Mūrinis,1976,
 Šv. Stepono g.,Naujamiestis,3,67.49,130000.0,Kietukuru,Mūrinis,1940,
 Mindaugo g.,Senamiestis,2,58,153000.0,Centriniskolektorinis,Mūrinis,2016,
 Bajorų kel.,Visoriai,3,84.26,129900.0,Centriniskolektorinis,Mūrinis,2007,
 Bajorų kel.,Santariškės,3,84.26,129900.0,Centriniskolektorinis,Mūrinis,2007,
 Bajorų kel.,Bajorai,3,84.26,129900.0,Centriniskolektorinis,Mūrinis,2007,
 Geležinio Vilko g.,Naujamiestis,2,44.48,60000.0,Centrinis,Blokinis,1967,
 Bitininkų g.,Jeruzalė,2,53.85,93000.0,Dujinis,Mūrinis,2002,
 Saulės g.,Antakalnis,3,71.65,164000.0,Dujinis,Mūrinis,2004,
 Tilto g.,Didieji Gulbinai,4,88.32,123900.0,Centrinis,Mūrinis,2018,
 Vaidilutės g.,Antakalnis,3,82.26,214000.0,Geoterminis,Mūrinis,2019,
 Pamėnkalnio g.,Senamiestis,3,80,213900.0,Dujinis,Mūrinis,1940statyba.2011renovacija,
 Pamėnkalnio g.,Senamiestis,4,80,213900.0,Dujinis,Mūrinis,1940statyba.2011renovacija,
 Skalvos g.,Didieji Gulbinai,5,100,106000.0,Geoterminis,Mūrinis,2018,
 Salomėjos Nėries g.,Fabijoniškės,3,74,92500.0,Centriniskolektorinis,Mūrinis,2005,
 Perkūnkiemio g.,Pašilaičiai,2,51.02,63000.0,Centriniskolektorinis,Blokinis,2017,
 Perkūnkiemio g.,Pašilaičiai,2,49.93,59000.0,Centrinis,Blokinis,2017,
 Perkūnkiemio g.,Pašilaičiai,2,50.45,60000.0,Centriniskolektorinis,Blokinis,2017,
 Islandijos g.,Senamiestis,3,93.25,180000.0,Centrinis,Mūrinis,1959,
 Aludarių g.,Naujamiestis,2,38,110500.0,Centrinis,Mūrinis,1940,
 Vinco Kudirkos g.,Senamiestis,2,38,110500.0,Centrinis,Mūrinis,1940,
 Apkasų g.,Žirmūnai,1,24.63,44000.0,Centrinis,Mūrinis,1964,
 Kviečių g.,Jeruzalė,2,51.93,88280.0,Centriniskolektorinis,Mūrinis,2018,
 Širvintų g.,Šnipiškės,3,72.2,115000.0,Centrinis.centriniskolektorinis,Mūrinis,2018,
 Aukų g.,Senamiestis,3,82,188400.0,Centrinis,Mūrinis,1940,
 Darželio g.,Naujoji Vilnia,2,38.69,45000.0,Centrinis,Mūrinis,1963statyba.2019renovacija,
 Šiltnamių g.,Pagiriai,2,51,51000.0,Centrinis,Mūrinis,1979,
 Kanklių g.,Antakalnis,2,44.67,79900.0,Centrinis,Mūrinis,1981,
 Antakalnio g.,Antakalnis,2,41.59,65000.0,Centrinis,Mūrinis,1964,
 Vingrių g.,Senamiestis,2,41,135000.0,Centrinis,Mūrinis,2001,
 Genių g.,Naujoji Vilnia,1,29,52900.0,Centriniskolektorinis,Mūrinis,2017,
 Liudviko Zamenhofo g.,Fabijoniškės,3,69,96500.0,Centriniskolektorinis,Mūrinis,2004,
 Liudviko Zamenhofo g.,Fabijoniškės,3,68.52,96500.0,Centriniskolektorinis,Mūrinis,2004,
 A. Vienuolio g.,Senamiestis,3,81.24,205000.0,Centrinis,Mūrinis,1940,
 A. Vienuolio g.,Senamiestis,3,81.24,205000.0,Centrinis,Mūrinis,1957,
 Mykolo Sleževičiaus g.,Baltupiai,3,60.44,93200.0,Centriniskolektorinis,Mūrinis,2019,
 Mykolo Sleževičiaus g.,Visoriai,3,60.44,93200.0,Centriniskolektorinis,Mūrinis,2019,
 Santariškių g.,Santariškės,2,50,109900.0,Centriniskolektorinis,Mūrinis,2011,
 Rinktinės g.,Šnipiškės,1,10,28500.0,Centrinis,Mūrinis,1961,
 S. Žukausko g.,Šiaurės miestelis,3,56.41,113000.0,Dujinis,Mūrinis,2001,
 Šarkuvos g.,Pilaitė,4,73.24,72000.0,Kita,Mūrinis,2019,
 Laisvės pr.,Karoliniškės,2,48.3,59997.0,Centrinis,Blokinis,1975,
 Laisvės pr.,Viršuliškės,2,48.3,59990.0,Centrinis,Blokinis,1975,
 Gelvonų g.,Šeškinė,3,67.08,65000.0,Centrinis,Mūrinis,1982,
 Dailidžių g.,Antakalnis,4,118,135000.0,Dujinis,Mūrinis,1995,
 Kauno g.,Senamiestis,1,30.44,49950.0,Elektra,Mūrinis,1950,
 Kauno g.,Naujamiestis,1,30.44,49950.0,Elektra,Mūrinis,1950,
 Braškių g.,Jeruzalė,3,73,106499.0,Centriniskolektorinis,Mūrinis,1996,
 Konstitucijos pr.,Šnipiškės,2,57,139000.0,Centriniskolektorinis,Monolitinis,2004,
 Gudų g.,Naujininkai,3,67,77000.0,Dujinis,Mūrinis,1965,
 Žirmūnų g.,Žirmūnai,2,44.32,63000.0,Centrinis,Blokinis,1965,
 Aguonų g.,Senamiestis,3,90.26,342988.0,Centriniskolektorinis,Mūrinis,2019,
 Grigalaukio g.,Pašilaičiai,2,52.43,72500.0,Centriniskolektorinis,Mūrinis,2018,
 Karklėnų g.,Naujoji Vilnia,2,57.97,79900.0,Centriniskolektorinis,Mūrinis,2015,
 Karklėnų g.,Naujoji Vilnia,2,57.97,79900.0,Centriniskolektorinis,Mūrinis,2015,
 Daugėliškio g.,Šnipiškės,2,37.36,50800.0,Kietukuru,Medinis,1953,
 Salaspilio g.,Bajorai,3,64,148000.0,Dujinis,Mūrinis,2018,
 Salaspilio g.,Santariškės,3,64,148000.0,Dujinis,Mūrinis,2018,
 Apkasų g.,Šnipiškės,2,44.05,62000.0,Centrinis,Blokinis,1964,
 Apkasų g.,Šiaurės miestelis,2,44.05,62000.0,Centrinis,Blokinis,1964,
 Apkasų g.,Žirmūnai,2,44.05,62000.0,Centrinis,Blokinis,1964,
 Kazio Ulvydo g.,Baltupiai,2,55.88,127400.0,Centriniskolektorinis,Mūrinis,2015,
 Šv. Stepono g.,Senamiestis,3,79.56,175000.0,Centrinis,Mūrinis,2008,
 Fabijoniškių g.,Fabijoniškės,5,110,125000.0,Centrinis,Monolitinis,1994,
 Gabijos g.,Pašilaičiai,1,36,48500.0,Centrinis,Blokinis,1987,
 Filaretų g.,Užupis,3,96,270000.0,Centriniskolektorinis,Mūrinis,2006,
 Klaipėdos g.,Senamiestis,2,42,159000.0,Centrinis.centriniskolektorinis,Mūrinis,2018,
 Klaipėdos g.,Senamiestis,2,42,159000.0,Centriniskolektorinis.kita,Mūrinis,1940,
 Laisvės pr.,Pašilaičiai,4,127.47,135000.0,Centriniskolektorinis,Mūrinis,1998,
 Pramonės g.,Naujoji Vilnia,1,19,18000.0,Dujinis,Mūrinis,1969,
 Pramonės g.,Naujoji Vilnia,1,19,18200.0,Dujinis,Mūrinis,1969statyba.2019renovacija,
 Karaliaučiaus g.,Pilaitė,4,89.31,106900.0,Centriniskolektorinis,Mūrinis,2018,
 Pramonės g.,Naujoji Vilnia,1,19,13000.0,Dujinis,Mūrinis,1969,
 Mėsinių g.,Senamiestis,2,48,165000.0,Centrinis,Mūrinis,1910,
 Vaduvos g.,Žemieji Paneriai,2,40,40000.0,Centrinis,Mūrinis,1976,
 Pilkalnio g.,Pilaitė,3,80.63,83550.0,Aeroterminis,Mūrinis,2019,
 Pilkalnio g.,Pilaitė,3,80.63,83550.0,Aeroterminis,Mūrinis,2019,
 Pilkalnio g.,Pilaitė,4,80.63,82000.0,Aeroterminis,Mūrinis,2019,
 Žygimantų g.,Senamiestis,2,51.52,159700.0,Centriniskolektorinis,Mūrinis,2021,
 Krivių g.,Užupis,2,53,95000.0,Centrinis,Mūrinis,1974,
 Krivių g.,Užupis,2,53,95000.0,Centrinis,Mūrinis,1974,
 Visorių g.,Visoriai,1,38.37,54000.0,Centriniskolektorinis,Mūrinis,2018,
 Turniškių g.,Valakampiai,4,83,280000.0,Geoterminis,Monolitinis,2017,
 Turniškių g.,Turniškės,4,83,280000.0,Geoterminis,Monolitinis,2017,
 Erfurto g.,Lazdynai,3,62,63000.0,Centrinis,Blokinis,1970,
 Šilo g.,Antakalnis,2,58,135000.0,Centriniskolektorinis,Mūrinis,2003,
 Gedimino pr.,Naujamiestis,4,81.5,289000.0,Centriniskolektorinis,Monolitinis,2019,
 Gedimino pr.,Senamiestis,4,81.5,289000.0,Centriniskolektorinis,Monolitinis,2019,
 Plačioji g.,Bajorai,4,120.05,90000.0,Aeroterminis,Mūrinis,2018,
 Visorių g.,Baltupiai,2,47.73,77500.0,Centriniskolektorinis,Mūrinis,2018,
 Visorių g.,Jeruzalė,2,53.81,95900.0,Centriniskolektorinis,Mūrinis,2018,
 Visorių g.,Baltupiai,1,29.69,54600.0,Centriniskolektorinis,Mūrinis,2018,
 Visorių g.,Jeruzalė,1,29.63,47000.0,Centriniskolektorinis,Mūrinis,2018,
 Visorių g.,Jeruzalė,2,53.81,82500.0,Centriniskolektorinis,Mūrinis,2018,
 Vilkpėdės g.,Naujamiestis,2,45,75900.0,Centriniskolektorinis,Mūrinis,2007,
 Vilkpėdės g.,Vilkpėdė,1,45,75900.0,Centriniskolektorinis,Mūrinis,2007,
 Duburio g.,Antakalnis,2,45.6,58500.0,Dujinis,Mūrinis,2019,
 Duburio g.,Antakalnis,2,45.07,59000.0,Dujinis,Mūrinis,2019,
 Duburio g.,Antakalnis,2,46.05,61000.0,Dujinis,Mūrinis,2019,
 Architektų g.,Lazdynai,1,32.39,43000.0,Centrinis,Blokinis,1971,
 Duburio g.,Antakalnis,2,51.72,66000.0,Dujinis,Mūrinis,2019,
 Girulių g.,Pašilaičiai,3,75,107000.0,Centriniskolektorinis,Mūrinis,2009,
 Girulių g.,Pašilaičiai,3,75,107000.0,Centriniskolektorinis,Mūrinis,2009,
 Kviečių g.,Jeruzalė,1,38.05,72300.0,Centriniskolektorinis,Mūrinis,2018,
 Pavilnionių g.,Pašilaičiai,2,40,66500.0,Centriniskolektorinis,Mūrinis,2008,
 Manufaktūrų g.,Užupis,2,48,121500.0,Centrinis,Blokinis,2018,
 Gabijos g.,Pašilaičiai,3,68,64000.0,Centrinis,Blokinis,1987,
 Didžioji g.,Senamiestis,4,140.19,380000.0,Centrinis,Mūrinis,1940statyba.2013renovacija,
 Taikos g.,Justiniškės,3,61.42,78000.0,Centrinis,Blokinis,1985,
 Visorių g.,Visoriai,2,47.74,99000.0,Centriniskolektorinis,Mūrinis,2018,
 Visorių g.,Jeruzalė,2,47.74,99000.0,Centriniskolektorinis,Mūrinis,2018,
 Visorių g.,Baltupiai,2,47.74,99000.0,Centriniskolektorinis,Mūrinis,2018,
 Balžio g.,Antakalnis,3,91.98,169000.0,Geoterminis,Mūrinis,2018,
 Balžio g.,Antakalnis,3,79.05,160000.0,Geoterminis,Mūrinis,2018,
 Vilkpėdės g.,Naujamiestis,2,58.01,97000.0,Centriniskolektorinis,Mūrinis,2008,
 Vilkpėdės g.,Vilkpėdė,2,58.01,97000.0,Centriniskolektorinis,Mūrinis,2008,
 Kašubų g.,Kalnėnai,3,55,78500.0,Dujinis,Mūrinis,2018,
 Kašubų g.,Kalnėnai,3,55,78500.0,Dujinis,Mūrinis,2018,
 Šv. Stepono g.,Naujamiestis,3,65.58,148000.0,Dujinis,Mūrinis,1989,
 Raugyklos g.,Senamiestis,1,46.1,121000.0,Centriniskolektorinis,Mūrinis,2019,
 Kęstučio g.,Žvėrynas,3,81,162000.0,Centriniskolektorinis,Mūrinis,2003,
 T. Ševčenkos g.,Naujamiestis,3,74.41,155000.0,Dujinis,Mūrinis,1979statyba.2011renovacija,
 Nemenčinės pl.,Valakampiai,4,93,369000.0,Centriniskolektorinis,Monolitinis,2017,
 Laisvės pr.,Pašilaičiai,5,172,170000.0,Elektra,Mūrinis,1995,
 P. Žadeikos g.,Fabijoniškės,1,40.5,46000.0,Centrinis,Monolitinis,1991,
 Trakėnų g.,Pilaitė,3,68.08,100000.0,Dujinis,Mūrinis,2014,
 Buivydiškių g.,Šeškinė,1,37.32,56000.0,Centrinis,Mūrinis,1990,
 Universiteto g.,Senamiestis,2,44.75,120000.0,Centrinis,Mūrinis,1940,
 Vytenio g.,Naujamiestis,3,36.15,60647.0,Centriniskolektorinis,Mūrinis,2020,
 Kauno g.,Naujamiestis,3,46.9,99490.0,Centriniskolektorinis,Mūrinis,2020,
 Vismaliukų g.,Kairėnai,3,73,89500.0,Centrinis,Mūrinis,1989,
 A. Vivulskio g.,Senamiestis,2,45,134900.0,Centriniskolektorinis,Monolitinis,2019,
 Statybininkų g.,Naujamiestis,2,45,134900.0,Centriniskolektorinis,Monolitinis,2019,
 T. Ševčenkos g.,Naujamiestis,3,76.52,125000.0,Centrinis,Mūrinis,1959,
 M. K. Čiurlionio g.,Naujamiestis,3,65.05,160000.0,Dujinis,Rąstinis,1912,
 Didlaukio g.,Baltupiai,3,64,63000.0,Centrinis,Mūrinis,1982,
 Ukmergės g.,Šeškinė,3,64.38,66900.0,Centrinis,Blokinis,1979,
 Verkių g.,Žirmūnai,3,83.17,245000.0,Centriniskolektorinis,Mūrinis,2007,
 Verkių g.,Verkiai,3,83.17,245000.0,Centriniskolektorinis,Mūrinis,2007,
 Žolyno g.,Antakalnis,1,18,29500.0,Centrinis,Mūrinis,1967,
 Lazdynėlių g.,Lazdynėliai,2,48,70000.0,Centriniskolektorinis,Mūrinis,2019,
 Kazio Ulvydo g.,Baltupiai,2,72.4,151000.0,Centriniskolektorinis,Mūrinis,2015,
 Kazio Ulvydo g.,Žirmūnai,2,72.4,151000.0,Centriniskolektorinis,Mūrinis,2015,
 Siesikų g.,Šeškinė,3,91,149000.0,Dujinis,Mūrinis,2001,
 S. Stanevičiaus g.,Fabijoniškės,1,35,50000.0,Centrinis,Blokinis,1988,
 Giedraičių g.,Šnipiškės,3,67.26,49600.0,Kietukuru,Medinis,1940,
 Teatro g.,Senamiestis,4,156,500000.0,Centrinis,Mūrinis,2000,
 Teatro g.,Naujamiestis,4,156,500000.0,Centrinis,Mūrinis,2000,
 Daugėliškio g.,Šnipiškės,1,37.41,24800.0,Kietukuru,Medinis,1940,
 A. Jaroševičiaus g.,Naujininkai,2,34.26,31600.0,Kita,Mūrinis,1940,
 Antakalnio g.,Antakalnis,3,79,125000.0,Centriniskolektorinis,Mūrinis,2001,
 Šumsko g.,Žemieji Paneriai,4,93,89900.0,Dujinis,Mūrinis,2018,
 Šumsko g.,Naujininkai,4,93,89900.0,Dujinis,Mūrinis,2018,
 Rygos g.,Justiniškės,2,39.55,58900.0,Centrinis,Blokinis,1985,
 Rinktinės g.,Žirmūnai,1,30.25,80004.0,Centriniskolektorinis,Mūrinis,2019,
 Šv. Jono g.,Senamiestis,4,83.39,330000.0,Centrinis.elektra,Mūrinis,1940,
 Jonažolių g.,Lazdynėliai,4,112.3,179000.0,Centriniskolektorinis,Mūrinis,2003,
 Jonažolių g.,Bukčiai,4,112.3,180000.0,Centriniskolektorinis,Mūrinis,2003,
 Kazio Ulvydo g.,Šiaurės miestelis,2,44.6,90000.0,Centriniskolektorinis,Mūrinis,2015,
 Kazio Ulvydo g.,Baltupiai,2,44.6,90000.0,Centriniskolektorinis,Mūrinis,2015,
 Vandentiekio g.,Naujamiestis,2,40.57,53000.0,Centrinis,Mūrinis,1962,
 Žygimantų g.,Senamiestis,3,85.2,255800.0,Centriniskolektorinis,Mūrinis,2021,
 Linksmoji g.,Naujoji Vilnia,2,52.33,48000.0,Centrinis,Monolitinis,1988,
 Kviečių g.,Jeruzalė,2,51.79,98000.0,Centriniskolektorinis,Mūrinis,2018,
 M. K. Čiurlionio g.,Naujamiestis,4,127.28,367112.0,Centriniskolektorinis,Mūrinis,2007,
 Gedimino pr.,Naujamiestis,4,121.13,593537.0,Centriniskolektorinis,Mūrinis,2018,
 Dūmų g.,Naujoji Vilnia,1,27.03,27777.0,Kita,Mūrinis,1970statyba.2019renovacija,
 Taikos g.,Justiniškės,2,60,82000.0,Centriniskolektorinis,Mūrinis,2006,
 Panevėžio g.,Naujininkai,4,100,149500.0,Centriniskolektorinis,Mūrinis,1996,
 Kolektyvo g.,Baltupiai,2,27.8,36000.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Kolektyvo g.,Jeruzalė,2,27.8,36000.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Kolektyvo g.,Verkiai,2,27.8,36000.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Kolektyvo g.,Šeškinė,2,27.8,36000.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Liepyno g.,Žvėrynas,3,69,199500.0,Centrinis,Mūrinis,1957,
 Fabijoniškių g.,Fabijoniškės,4,81.87,97500.0,Centrinis,Monolitinis,1994,
 Žaliųjų Ežerų g.,Balsiai,2,54.81,80000.0,Geoterminis,Mūrinis,2016,
 Brolių g.,Naujininkai,2,45,57500.0,Centrinis,Mūrinis,1969,
 Panerių g.,Naujamiestis,2,45,57500.0,Centrinis,Mūrinis,1969,
 Bitėnų g.,Pilaitė,2,41,58900.0,Centriniskolektorinis,Mūrinis,2019,
 Bitėnų g.,Pilaitė,3,50,72900.0,Centriniskolektorinis,Mūrinis,2019,
 Jogailos g.,Senamiestis,2,46.92,149000.0,Centrinis,Mūrinis,1940,
 Kalvarijų g.,Šnipiškės,4,96,193000.0,Centrinis,Mūrinis,2007,
 Kalvarijų g.,Šnipiškės,3,100,250000.0,Elektra,Mūrinis,1914,
 V. Grybo g.,Antakalnis,3,82.5,172280.0,Geoterminis,Mūrinis,2019,
 Taurijos g.,Antakalnis,3,59.95,76800.0,Centriniskolektorinis,Mūrinis,2018,
 Taurijos g.,Naujoji Vilnia,3,59.95,76800.0,Centriniskolektorinis,Mūrinis,2019,
 Taurijos g.,Antakalnis,1,24.66,39900.0,Dujinis,Mūrinis,2019,
 Želmenų g.,Balsiai,4,94,89000.0,Dujinis,Mūrinis,2017,
 Skalvos g.,Bajorai,4,100,99000.0,Dujinis,Mūrinis,2016,
 Skalvos g.,Didieji Gulbinai,4,97.39,107129.0,Dujinis,Mūrinis,2016,
 Skalvos g.,Santariškės,4,97,106700.0,Geoterminis,Mūrinis,2019,
 Bajorų kel.,Santariškės,3,77.67,109990.0,Centriniskolektorinis,Mūrinis,2007,
 Bajorų kel.,Visoriai,3,77.67,109990.0,Centriniskolektorinis,Mūrinis,2007,
 Bajorų kel.,Bajorai,3,77.67,109990.0,Centriniskolektorinis,Mūrinis,2007,
 Pašilaičių g.,Pašilaičiai,4,82,95000.0,Centrinis,Monolitinis,1988,
 A. Jaroševičiaus g.,Naujininkai,2,45.66,35500.0,Elektra.kietukuru,Karkasinis,1940,
 Girulių g.,Pašilaičiai,2,44.3,71400.0,Centriniskolektorinis,Mūrinis,2008,
 Raugyklos g.,Naujamiestis,2,40.5,121000.0,Centriniskolektorinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,3,64,73800.0,Centrinis,Blokinis,1977,
 Viršuliškių g.,Viršuliškės,3,64,73900.0,Centrinis,Blokinis,1977,
 Architektų g.,Lazdynai,3,60.7,62000.0,Centrinis,Blokinis,1970,
 Pilaitės pr.,Karoliniškės,2,42.5,67300.0,Centriniskolektorinis.geoterminis,Kita,2018,
 Pilaitės pr.,Karoliniškės,2,42.5,67300.0,Centriniskolektorinis.geoterminis,Kita,2018,
 Viršuliškių skg.,Viršuliškės,2,42.5,67300.0,Centriniskolektorinis.geoterminis,Kita,2018,
 Žirgo g.,Antakalnis,6,163.49,199000.0,Dujinis,Mūrinis,1993,
 Vaduvos g.,Žemieji Paneriai,1,37,38000.0,Centrinis,Blokinis,1988,
 Vaduvos g.,Žemieji Paneriai,1,37,38000.0,Centrinis,Blokinis,1988,
 Šešėlių g.,Aukštieji Paneriai,2,48.36,46900.0,Centrinis,Mūrinis,1978,
 Airių g.,Kalnėnai,4,126.51,120000.0,Dujinis,Mūrinis,2018,
 Žirgo g.,Antakalnis,4,114,150000.0,Elektra.dujinis,Mūrinis,2007,
 Žirgo g.,Antakalnis,4,114,150000.0,Dujinis,Mūrinis,2007,
 Ukmergės g.,Šeškinė,2,51,61000.0,Centrinis,Blokinis,1979,
