Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Lazdynėlių g.,Lazdynėliai,1,38.76,56500.0,Centriniskolektorinis,Mūrinis,2018,
 Žirgo g.,Antakalnis,3,84.26,163000.0,Centriniskolektorinis,Mūrinis,2003,
 Gelvonų g.,Šeškinė,2,52,74000.0,Centrinis,Monolitinis,1987,
 Vingrių g.,Senamiestis,2,44.67,140500.0,Centriniskolektorinis,Mūrinis,2020,
 Mykolo Sleževičiaus g.,Visoriai,1,29.79,54600.0,Centriniskolektorinis,Mūrinis,2019,
 Trinapolio g.,Žirmūnai,1,36.77,66200.0,Centriniskolektorinis,Mūrinis,2019,
 Lazdynėlių g.,Lazdynėliai,2,45.23,72400.0,Centriniskolektorinis,Mūrinis,2020,
 Trinapolio g.,Žirmūnai,3,74,118900.0,Kita,Mūrinis,2019,
 V. Grybo g.,Antakalnis,3,69.85,164020.0,Kita,Mūrinis,2019,
 Trinapolio g.,Žirmūnai,2,37,66200.0,Kita,Mūrinis,2019,
 Trinapolio g.,Baltupiai,3,74,118900.0,Kita,Mūrinis,2019,
 Žygimantų g.,Senamiestis,2,47.3,149000.0,Centriniskolektorinis,Mūrinis,2021,
 Raugyklos g.,Senamiestis,1,31.3,91000.0,Centriniskolektorinis,Mūrinis,2019,
 Antakalnio g.,Antakalnis,1,27.84,66800.0,Centriniskolektorinis,Mūrinis,2019,
 Siesikų g.,Šeškinė,1,30.27,53800.0,Centriniskolektorinis,Kita,2019,
 Trinapolio g.,Žirmūnai,1,36.23,65200.0,Centriniskolektorinis,Mūrinis,2019,
 Linkmenų g.,Šnipiškės,1,34.29,66500.0,Centriniskolektorinis,Blokinis,2019,
 Linkmenų g.,Šnipiškės,3,60.29,97900.0,Centriniskolektorinis,Blokinis,2019,
 Linkmenų g.,Šnipiškės,1,34.35,65600.0,Centriniskolektorinis,Blokinis,2019,
 Smėlio g.,Antakalnis,3,56.67,122974.0,Centriniskolektorinis,Monolitinis,2019,
 Viršuliškių g.,Viršuliškės,2,43.2,76300.0,Centriniskolektorinis,Mūrinis,2019,
 Viršuliškių g.,Viršuliškės,2,51.37,89000.0,Centriniskolektorinis,Mūrinis,2019,
 Siesikų g.,Šeškinė,1,30.41,60600.0,Centriniskolektorinis,Kita,2019,
 I. Kanto al.,Pilaitė,3,70,79000.0,Centrinis,Blokinis,1994,
 Piromonto g.,Žirmūnai,2,42.38,114000.0,Centriniskolektorinis,Monolitinis,2019,
 Aguonų g.,Senamiestis,2,41.79,124910.0,Centriniskolektorinis,Monolitinis,2019,
 Aguonų g.,Senamiestis,1,26.89,74906.0,Centriniskolektorinis,Monolitinis,2019,
 Giedraičių g.,Šnipiškės,2,51.38,99000.0,Centriniskolektorinis,Kita,2018,
 Vaidilutės g.,Valakampiai,3,82.26,189000.0,Dujinis,Mūrinis,2019,
 Gerovės g.,Naujoji Vilnia,1,26.06,32000.0,Centrinis,Mūrinis,1965,
 Lazdynėlių g.,Lazdynėliai,3,52.35,83300.0,Centriniskolektorinis,Mūrinis,2020,
 Bitėnų g.,Pilaitė,4,91.26,153000.0,Geoterminis,Mūrinis,2019,
 Birželio 23-iosios g.,Naujamiestis,3,72.53,129900.0,Centrinis,Monolitinis,2019,
 Laisvės pr.,Pašilaičiai,3,64.94,93500.0,Centriniskolektorinis,Mūrinis,2019,
 Statybininkų g.,Naujamiestis,2,51.99,127000.0,Centrinis,Monolitinis,2019,
 Laisvės pr.,Pašilaičiai,5,153.74,163000.0,Elektra,Mūrinis,2000,
 Vytauto Žalakevičiaus g.,Antakalnis,3,79,290000.0,Centriniskolektorinis.kita,Mūrinis,2014,
 Vilniaus g.,Senamiestis,4,145,358000.0,Centrinis,Mūrinis,1940,
